"Local Authority","Scenario","year_2020","year_2021","year_2022","year_2023","year_2024","year_2025","year_2026","year_2027","year_2028","year_2029","year_2030","year_2031","year_2032","year_2033","year_2034","year_2035","year_2036","year_2037","year_2038","year_2039","year_2040"
"Carlow","Baseline","409","395","382","401","399","414","398","390","425","415","424","423","411","423","402","424","388","395","405","382","392"
"Cavan","Baseline","462","451","446","474","490","472","454","471","504","521","508","496","511","527","528","507","505","499","491","481","448"
"Cork City","Baseline","1,544","1,560","1,485","1,467","1,408","1,356","1,390","1,386","1,421","1,405","1,395","1,410","1,384","1,394","1,364","1,345","1,335","1,298","1,282","1,240","1,204"
"Cork City","High migration","1,530","1,589","1,559","1,588","1,579","1,579","1,624","1,631","1,675","1,670","1,669","1,692","1,674","1,691","1,669","1,656","1,652","1,620","1,610","1,573","1,542"
"Clare","Baseline","623","591","580","596","599","592","567","576","605","612","623","583","601","592","562","576","531","544","516","467","458"
"Dublin City","Baseline","4,504","4,333","4,039","3,838","3,564","3,289","3,278","3,267","3,408","3,374","3,419","3,415","3,445","3,454","3,492","3,485","3,488","3,566","3,452","3,417","3,293"
"Cork City","Low migration","1,193","1,231","1,182","1,261","1,307","1,298","1,335","1,334","1,371","1,359","1,352","1,370","1,348","1,360","1,332","1,315","1,306","1,270","1,256","1,216","1,181"
"Fingal","Baseline","2,193","2,152","1,936","1,760","1,655","1,381","1,381","1,260","1,192","1,164","1,014","977","953","937","856","816","749","794","810","750","743"
"Donegal","Baseline","916","875","869","920","957","908","892","897","965","1,009","996","979","955","986","998","957","953","887","888","868","827"
"Cork City","50:50 City","1,762","1,787","1,721","1,711","1,660","1,616","1,664","1,674","1,722","1,721","1,725","1,754","1,743","1,767","1,753","1,749","1,754","1,732","1,735","1,711","1,693"
"Galway City","Baseline","307","297","293","312","297","275","284","283","351","353","336","341","345","321","301","243","230","227","218","204","185"
"Galway County","Baseline","1,115","1,144","1,078","1,055","1,018","983","1,021","966","974","955","930","953","921","957","939","905","935","903","934","906","843"
"Kerry","Baseline","969","929","926","928","923","909","879","905","955","954","954","926","935","957","911","914","888","884","896","844","833"
"Kildare","Baseline","1,479","1,494","1,520","1,518","1,474","1,443","1,464","1,503","1,559","1,523","1,496","1,517","1,511","1,553","1,488","1,449","1,431","1,408","1,406","1,323","1,281"
"Kilkenny","Baseline","598","574","593","589","646","627","600","628","643","691","695","663","695","704","708","720","676","689","688","673","675"
"Laois","Baseline","594","613","585","613","626","593","611","617","673","681","668","659","684","722","692","699","652","674","680","635","631"
"Leitrim","Baseline","157","161","156","161","181","168","171","176","175","201","196","192","203","185","200","192","189","188","178","182","173"
"Limerick","Baseline","1,294","1,263","1,190","1,189","1,140","1,084","1,110","1,104","1,126","1,107","1,070","1,101","1,066","1,046","1,019","977","994","958","949","931","892"
"Longford","Baseline","306","306","315","310","314","302","312","323","330","338","327","332","340","344","333","324","315","325","321","308","302"
"Louth","Baseline","832","841","799","814","797","798","812","820","830","847","843","853","875","847","864","836","828","822","793","787","744"
"Mayo","Baseline","448","429","398","453","431","417","412","391","463","453","458","449","414","461","429","424","417","372","389","344","325"
"Meath","Baseline","1,224","1,207","1,196","1,249","1,236","1,221","1,230","1,276","1,348","1,370","1,371","1,371","1,407","1,445","1,451","1,427","1,406","1,408","1,376","1,349","1,266"
"Monaghan","Baseline","337","320","308","335","326","324","309","305","348","352","359","344","343","369","362","364","351","337","345","336","324"
"Offaly","Baseline","526","506","526","553","546","523","518","542","576","588","559","561","575","580","597","558","552","555","544","552","519"
"Roscommon","Baseline","363","372","363","379","398","376","404","398","416","446","430","457","444","446","465","447","460","431","427","427","410"
"Sligo","Baseline","467","463","450","461","454","449","441","456","473","470","474","461","466","470","451","446","414","421","421","404","402"
"Tipperary","Baseline","818","812","791","808","789","797","792","782","817","830","866","837","834","811","814","824","783","766","726","712","694"
"Waterford","Baseline","595","573","578","585","592","578","571","590","628","646","618","615","606","603","622","572","560","554","542","543","500"
"Westmeath","Baseline","579","574","533","521","526","522","530","510","514","512","525","535","507","508","497","495","497","464","455","442","426"
"Wexford","Baseline","819","805","812","874","877","845","844","869","933","973","909","911","928","946","977","887","894","901","891","893","814"
"Wicklow","Baseline","819","839","790","806","814","803","827","814","853","861","877","881","860","896","874","874","871","828","847","792","773"
"Carlow","High migration","410","402","395","421","426","449","436","430","467","460","472","472","462","477","458","482","448","458","469","448","460"
"Cavan","High migration","464","465","475","518","550","549","535","556","593","613","604","595","612","631","635","616","616","612","607","598","567"
"Cork County","Baseline","1,965","1,985","1,890","1,867","1,792","1,726","1,769","1,765","1,808","1,789","1,776","1,794","1,762","1,774","1,737","1,712","1,699","1,652","1,632","1,579","1,533"
"Cork County","High migration","1,948","2,022","1,984","2,021","2,009","2,009","2,067","2,075","2,132","2,125","2,124","2,153","2,131","2,153","2,124","2,107","2,102","2,062","2,049","2,003","1,963"
"Clare","High migration","622","611","622","661","689","707","688","703","737","749","765","729","751","746","719","737","695","710","685","639","633"
"Dublin City","High migration","4,428","4,446","4,350","4,354","4,293","4,237","4,252","4,264","4,423","4,403","4,459","4,460","4,494","4,504","4,541","4,533","4,536","4,613","4,500","4,465","4,344"
"Cork County","Low migration","1,518","1,566","1,504","1,605","1,663","1,652","1,699","1,698","1,745","1,729","1,721","1,744","1,715","1,731","1,696","1,673","1,662","1,617","1,599","1,547","1,503"
"Fingal","High migration","2,164","2,196","2,057","1,964","1,945","1,762","1,782","1,682","1,634","1,626","1,494","1,473","1,464","1,461","1,391","1,362","1,302","1,353","1,373","1,316","1,309"
