Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
Dublin,4175,2724,1451,485,2397,1225,68,2372,1858,33,0,742,1121,363,1823,January,2021,
Mid-East,329,218,111,51,172,95,11,206,120,3,0,59,81,37,152,January,2021,
Midlands,66,36,30,17,30,17,2,39,11,16,0,14,15,13,31,January,2021,
Mid-West,295,200,95,29,181,80,5,71,190,34,0,29,37,21,45,January,2021,
North-East,85,66,19,12,43,22,8,25,38,22,0,1,2,0,1,January,2021,
North-West,84,61,23,19,45,19,1,36,32,13,3,6,8,4,12,January,2021,
South-East,181,132,49,28,94,50,9,58,123,0,0,19,25,13,32,January,2021,
South-West,503,354,149,67,282,140,14,342,163,0,0,50,73,27,122,January,2021,
West,269,159,110,52,131,78,8,127,142,0,0,46,68,24,108,January,2021,
Dublin,4258,2428,1830,577,2586,1018,77,2043,2242,72,0,1221,1708,734,2706,January,2019,
Mid-East,254,149,105,32,160,59,3,125,126,3,0,40,53,27,105,January,2019,
Midlands,111,60,51,19,66,22,4,74,37,0,0,35,51,19,101,January,2019,
Mid-West,338,221,117,47,179,103,9,107,190,41,0,64,86,42,119,January,2019,
North-East,162,97,65,22,90,41,9,99,62,1,0,25,33,17,55,January,2019,
North-West,52,35,17,13,27,11,1,17,24,10,1,10,18,2,25,January,2019,
South-East,316,212,104,65,167,76,8,108,194,2,12,30,41,19,51,January,2019,
South-West,514,324,190,65,319,117,13,288,235,0,0,108,148,68,283,January,2019,
West,358,218,140,53,199,95,11,216,136,0,6,81,121,41,179,January,2019,
Dublin,4129,2693,1436,475,2375,1213,66,2273,1952,34,0,716,1083,349,1760,February,2021,
Mid-East,335,221,114,50,181,94,10,201,131,3,0,54,73,35,150,February,2021,
Midlands,74,42,32,21,38,14,1,48,9,17,0,17,20,14,37,February,2021,
Mid-West,293,203,90,33,177,79,4,68,192,33,0,29,37,21,47,February,2021,
North-East,97,76,21,15,50,24,8,25,47,25,0,1,1,1,3,February,2021,
North-West,84,60,24,17,47,19,1,36,32,15,1,5,7,3,8,February,2021,
South-East,180,134,46,32,85,54,9,56,124,0,0,19,26,12,32,February,2021,
South-West,503,359,144,77,276,139,11,338,173,0,0,42,61,23,107,February,2021,
West,279,163,116,56,142,74,7,133,146,0,0,52,76,27,120,February,2021,
Dublin,4129,2693,1436,475,2375,1213,66,2273,1952,34,0,716,1083,349,1760,February,2020,
Mid-East,335,221,114,50,181,94,10,201,131,3,0,54,73,35,150,February,2020,
Midlands,74,42,32,21,38,14,1,48,9,17,0,17,20,14,37,February,2020,
Mid-West,293,203,90,33,177,79,4,68,192,33,0,29,37,21,47,February,2020,
North-East,97,76,21,15,50,24,8,25,47,25,0,1,1,1,3,February,2020,
North-West,84,60,24,17,47,19,1,36,32,15,1,5,7,3,8,February,2020,
South-East,180,134,46,32,85,54,9,56,124,0,0,19,26,12,32,February,2020,
South-West,503,359,144,77,276,139,11,338,173,0,0,42,61,23,107,February,2020,
West,279,163,116,56,142,74,7,133,146,0,0,52,76,27,120,February,2020,
Dublin,4304,2452,1852,565,2617,1052,70,2052,2281,74,0,1288,1825,751,2806,February,2019,
Mid-East,280,169,111,35,173,68,4,177,93,3,7,43,61,25,121,February,2019,
Midlands,116,61,55,25,63,25,3,78,38,0,0,35,51,19,98,February,2019,
Mid-West,349,224,125,55,186,99,9,117,190,42,0,71,98,44,136,February,2019,
