Local Authority,Scenario,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040
Carlow,Baseline,409.0,395.0,382.0,401.0,399.0,414.0,398.0,390.0,425.0,415.0,424.0,423.0,411.0,423.0,402.0,424.0,388.0,395.0,405.0,382.0,392.0
Cavan,Baseline,462.0,451.0,446.0,474.0,490.0,472.0,454.0,471.0,504.0,521.0,508.0,496.0,511.0,527.0,528.0,507.0,505.0,499.0,491.0,481.0,448.0
Cork City,Baseline,1544.0,1560.0,1485.0,1467.0,1408.0,1356.0,1390.0,1386.0,1421.0,1405.0,1395.0,1410.0,1384.0,1394.0,1364.0,1345.0,1335.0,1298.0,1282.0,1240.0,1204.0
Cork City,High migration,1530.0,1589.0,1559.0,1588.0,1579.0,1579.0,1624.0,1631.0,1675.0,1670.0,1669.0,1692.0,1674.0,1691.0,1669.0,1656.0,1652.0,1620.0,1610.0,1573.0,1542.0
Clare,Baseline,623.0,591.0,580.0,596.0,599.0,592.0,567.0,576.0,605.0,612.0,623.0,583.0,601.0,592.0,562.0,576.0,531.0,544.0,516.0,467.0,458.0
Dublin City,Baseline,4504.0,4333.0,4039.0,3838.0,3564.0,3289.0,3278.0,3267.0,3408.0,3374.0,3419.0,3415.0,3445.0,3454.0,3492.0,3485.0,3488.0,3566.0,3452.0,3417.0,3293.0
Cork City,Low migration,1193.0,1231.0,1182.0,1261.0,1307.0,1298.0,1335.0,1334.0,1371.0,1359.0,1352.0,1370.0,1348.0,1360.0,1332.0,1315.0,1306.0,1270.0,1256.0,1216.0,1181.0
Fingal,Baseline,2193.0,2152.0,1936.0,1760.0,1655.0,1381.0,1381.0,1260.0,1192.0,1164.0,1014.0,977.0,953.0,937.0,856.0,816.0,749.0,794.0,810.0,750.0,743.0
Donegal,Baseline,916.0,875.0,869.0,920.0,957.0,908.0,892.0,897.0,965.0,1009.0,996.0,979.0,955.0,986.0,998.0,957.0,953.0,887.0,888.0,868.0,827.0
Cork City,50:50 City,1762.0,1787.0,1721.0,1711.0,1660.0,1616.0,1664.0,1674.0,1722.0,1721.0,1725.0,1754.0,1743.0,1767.0,1753.0,1749.0,1754.0,1732.0,1735.0,1711.0,1693.0
Galway City,Baseline,307.0,297.0,293.0,312.0,297.0,275.0,284.0,283.0,351.0,353.0,336.0,341.0,345.0,321.0,301.0,243.0,230.0,227.0,218.0,204.0,185.0
Galway County,Baseline,1115.0,1144.0,1078.0,1055.0,1018.0,983.0,1021.0,966.0,974.0,955.0,930.0,953.0,921.0,957.0,939.0,905.0,935.0,903.0,934.0,906.0,843.0
Kerry,Baseline,969.0,929.0,926.0,928.0,923.0,909.0,879.0,905.0,955.0,954.0,954.0,926.0,935.0,957.0,911.0,914.0,888.0,884.0,896.0,844.0,833.0
Kildare,Baseline,1479.0,1494.0,1520.0,1518.0,1474.0,1443.0,1464.0,1503.0,1559.0,1523.0,1496.0,1517.0,1511.0,1553.0,1488.0,1449.0,1431.0,1408.0,1406.0,1323.0,1281.0
Kilkenny,Baseline,598.0,574.0,593.0,589.0,646.0,627.0,600.0,628.0,643.0,691.0,695.0,663.0,695.0,704.0,708.0,720.0,676.0,689.0,688.0,673.0,675.0
Laois,Baseline,594.0,613.0,585.0,613.0,626.0,593.0,611.0,617.0,673.0,681.0,668.0,659.0,684.0,722.0,692.0,699.0,652.0,674.0,680.0,635.0,631.0
Leitrim,Baseline,157.0,161.0,156.0,161.0,181.0,168.0,171.0,176.0,175.0,201.0,196.0,192.0,203.0,185.0,200.0,192.0,189.0,188.0,178.0,182.0,173.0
Limerick,Baseline,1294.0,1263.0,1190.0,1189.0,1140.0,1084.0,1110.0,1104.0,1126.0,1107.0,1070.0,1101.0,1066.0,1046.0,1019.0,977.0,994.0,958.0,949.0,931.0,892.0
